,STATE,NAME,geometry
30399,FL,cvs,POINT (-82.7634488 27.9601015)
30404,FL,walgreens,POINT (-82.7112213 27.8070144)
30405,FL,"walmart, wal-mart",POINT (-82.7894897 27.9260068)
30406,FL,cvs,POINT (-82.1385326 28.0173253)
30407,FL,walgreens,POINT (-82.7682818 27.7680699)
30409,FL,walgreens,POINT (-82.7813432 28.0493546)
30410,FL,walgreens,POINT (-82.7881599 27.938445)
30411,FL,walgreens,POINT (-82.678593 28.0429403)
30412,FL,walgreens,POINT (-82.7465509 27.9893391)
30413,FL,walgreens,POINT (-82.7388125 27.7191201)
30414,FL,walgreens,POINT (-82.7952176 27.9660962)
30416,FL,walgreens,POINT (-82.74539 27.9413981)
30417,FL,walgreens,POINT (-82.8250954 27.9671682)
30418,FL,walgreens,POINT (-82.7079719 27.9830339)
30420,FL,walgreens,POINT (-82.71418 27.9156024)
30429,FL,walgreens,POINT (-82.7616349 27.8860446)
30432,FL,walgreens,POINT (-82.7281492 27.8930409)
30442,FL,walgreens,POINT (-82.3384455 29.6890273)
30443,FL,walgreens,POINT (-82.4932802 29.6544426)
30460,FL,walgreens,POINT (-82.4485293 29.38748)
30473,FL,walgreens,POINT (-82.8287375 27.8444366)
30475,FL,walgreens,POINT (-82.5387525 28.4602516)
30477,FL,walgreens,POINT (-82.5051747 27.3530721)
30484,FL,walgreens,POINT (-82.4933328 27.8932373)
30500,FL,"walmart, wal-mart",POINT (-82.6822096 27.834471)
30505,FL,walgreens,POINT (-81.8424896 27.9025717)
30509,FL,cvs,POINT (-82.3545659 28.1850766)
30515,FL,cvs,POINT (-82.3192096 28.1793084)
30516,FL,cvs,POINT (-82.6238806 27.3675344)
30519,FL,walgreens,POINT (-82.0264787 29.1195322)
30533,FL,cvs,POINT (-82.4642649 27.9398721)
30540,FL,walgreens,POINT (-82.5406848 28.0058064)
30554,FL,cvs,POINT (-81.7501005 26.1083556)
30555,FL,walgreens,POINT (-81.8239271 28.5583701)
30556,FL,cvs,POINT (-82.3387706 29.6662062)
30558,FL,cvs,POINT (-82.5244386 28.0189216)
30561,FL,cvs,POINT (-82.0730593 26.9639788)
30562,FL,walgreens,POINT (-82.2607415 27.0464039)
30563,FL,cvs,POINT (-82.4461945 28.8995862)
30565,FL,cvs,POINT (-82.4217818 29.5990717)
30569,FL,cvs,POINT (-82.1527662 29.2592333)
30582,MO,"walmart, wal-mart",POINT (-90.506868 38.5960435)
30583,IN,cvs,POINT (-87.5783219 38.3558666)
30588,IL,walgreens,POINT (-90.2627692 39.7237744)
30589,TN,"walmart, wal-mart",POINT (-88.3079982 36.2811224)
30595,TN,"walmart, wal-mart",POINT (-88.1086134 36.0887042)
30605,KY,cvs,POINT (-87.7325541 37.4109492)
30613,MO,"walmart, wal-mart",POINT (-91.1817312 39.3305639)
30614,IL,"walmart, wal-mart",POINT (-90.3944544 39.9967365)
30618,TN,"walmart, wal-mart",POINT (-89.6652242 35.5459011)
30620,IL,"walmart, wal-mart",POINT (-87.6908498 39.4151383)
30624,IL,"walmart, wal-mart",POINT (-89.2382061 37.9976415)
30626,KY,cvs,POINT (-87.8956513 37.116088)
30627,AR,"walmart, wal-mart",POINT (-90.6854001 35.8190147)
30629,AR,walgreens,POINT (-90.6769009 35.828855)
30633,AR,walgreens,POINT (-91.2523304 35.6070584)
30637,AR,"walmart, wal-mart",POINT (-90.974341 36.076618)
30641,AR,"walmart, wal-mart",POINT (-89.8721293 35.9311281)
30642,IL,"walmart, wal-mart",POINT (-88.1554051 39.485126)
30643,IL,"walmart, wal-mart",POINT (-88.2562045 40.0489387)
30653,KY,walgreens,POINT (-87.0585879 37.7524857)
30654,KY,walgreens,POINT (-87.1121153 37.7529987)
30655,IL,cvs,POINT (-89.2958792 39.5542334)
30656,IN,walgreens,POINT (-86.9370942 38.4226486)
30657,IN,cvs,POINT (-87.1438437 39.0375333)
30658,IN,"walmart, wal-mart",POINT (-87.130696 39.0359525)
30661,IN,walgreens,POINT (-87.1222323 39.5237333)
30664,IL,walgreens,POINT (-89.0801818 39.3880175)
30666,IN,"walmart, wal-mart",POINT (-86.7843891 39.2912992)
30668,IN,cvs,POINT (-86.8405217 39.6457512)
30672,IN,cvs,POINT (-87.638066 37.9769133)
30673,IN,walgreens,POINT (-87.5290959 37.9548347)
30675,IN,"walmart, wal-mart",POINT (-87.4723609 37.9804168)
30676,IN,walgreens,POINT (-87.4913754 38.0120757)
30679,IN,walgreens,POINT (-87.4934663 37.9636243)
30680,IN,walgreens,POINT (-87.3900007 37.9759734)
30687,MO,walgreens,POINT (-90.6186037 38.6688267)
30689,MO,walgreens,POINT (-90.5253664 38.567556)
30690,MO,walgreens,POINT (-90.3627204 38.8039478)
30691,MO,walgreens,POINT (-90.2662952 38.7937436)
30692,MO,walgreens,POINT (-90.4902031 38.5949039)
30693,MO,walgreens,POINT (-90.6248718 38.5039065)
30694,MO,walgreens,POINT (-90.4982644 38.5682304)
30699,MO,walgreens,POINT (-90.5533162 38.6555015)
30705,MO,walgreens,POINT (-90.5231554 38.5938097)
30706,MO,"walmart, wal-mart",POINT (-90.4029773 38.562986)
30708,MO,walgreens,POINT (-90.2868423 38.6139326)
30709,MO,walgreens,POINT (-90.3173824 38.6349685)
30710,MO,walgreens,POINT (-90.627979 38.5812383)
30711,MO,walgreens,POINT (-90.3323436 38.500489)
30712,MO,walgreens,POINT (-90.3480915 38.4860529)
30713,MO,"walmart, wal-mart",POINT (-90.3307915 38.6216157)
30714,MO,walgreens,POINT (-90.3766195 38.5077622)
30716,MO,walgreens,POINT (-90.3584111 38.56565)
30718,MO,"walmart, wal-mart",POINT (-90.2959852 38.4943608)
30723,MO,walgreens,POINT (-90.30834 38.6163047)
30724,MO,walgreens,POINT (-90.2934534 38.5938351)
30725,MO,walgreens,POINT (-90.4886982 38.4906806)
30728,MO,walgreens,POINT (-90.4068877 38.5860282)
30738,MO,walgreens,POINT (-90.6989746 38.8210915)
30739,MO,walgreens,POINT (-90.8599976 38.8245859)
30740,MO,walgreens,POINT (-90.7454744 38.7653706)
30742,AR,"walmart, wal-mart",POINT (-90.199886 35.1654285)
30748,KY,cvs,POINT (-87.4978167 37.3408158)
30749,KY,"walmart, wal-mart",POINT (-87.4731735 37.3252363)
30764,MO,"walmart, wal-mart",POINT (-90.8789959 38.8141614)
30767,MO,"walmart, wal-mart",POINT (-90.4118429 36.7557581)
30771,KY,walgreens,POINT (-88.6350612 36.73499)
30774,MO,walgreens,POINT (-89.5523987 37.3064919)
30777,KY,"walmart, wal-mart",POINT (-88.3603986 36.8696692)
30778,KY,"walmart, wal-mart",POINT (-88.5661666 37.0540793)
30779,KY,cvs,POINT (-88.665759 37.0363161)
30790,MO,"walmart, wal-mart",POINT (-90.5746084 38.1500664)
30794,MO,walgreens,POINT (-90.4022341 38.3498913)
30795,MO,"walmart, wal-mart",POINT (-89.8961471 37.7056462)
30796,MO,"walmart, wal-mart",POINT (-91.4816424 38.3530944)
30799,MO,walgreens,POINT (-91.3922141 39.7126976)
30801,MO,"walmart, wal-mart",POINT (-90.37752 38.438341)
30802,MO,"walmart, wal-mart",POINT (-90.3197815 37.5589525)
30803,MO,"walmart, wal-mart",POINT (-90.0376364 36.2388086)
30807,MO,"walmart, wal-mart",POINT (-90.4353466 37.7894497)
30823,TN,cvs,POINT (-86.8249981 35.9270038)
30824,TN,cvs,POINT (-86.8763222 35.9319541)
30825,TN,walgreens,POINT (-86.8980268 35.9293297)
30826,TN,walgreens,POINT (-86.7951864 35.9232172)
30827,TN,walgreens,POINT (-86.8196627 35.9137026)
30828,TN,walgreens,POINT (-86.9155031 35.774674)
30836,TN,walgreens,POINT (-86.8012809 35.9588011)
30839,IL,walgreens,POINT (-89.7146174 39.7703979)
30841,TN,cvs,POINT (-87.0545797 35.5938519)
30842,TN,walgreens,POINT (-87.0640027 35.6030324)
30845,TN,cvs,POINT (-87.0245397 35.6294246)
30848,TN,walgreens,POINT (-86.9557333 36.0451408)
30851,TN,walgreens,POINT (-86.6804949 36.1687259)
30852,TN,walgreens,POINT (-86.7133567 36.2564219)
30854,TN,cvs,POINT (-86.8375514 36.2188846)
30856,TN,cvs,POINT (-86.8494161 36.1249246)
30857,TN,walgreens,POINT (-86.740387 36.1024284)
30859,TN,walgreens,POINT (-86.715189 36.0507046)
30861,TN,walgreens,POINT (-89.7320688 35.2064317)
30862,TN,walgreens,POINT (-89.8398734 35.2042205)
